id,station,route
odpt.Station:TokyoMetro.Yurakucho.Ichigaya,市ケ谷,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Ikebukuro,池袋,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Edogawabashi,江戸川橋,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Kanamecho,要町,有楽町線
odpt.Station:TokyoMetro.Yurakucho.GinzaItchome,銀座一丁目,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Kojimachi,麴町,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Gokokuji,護国寺,有楽町線
odpt.Station:TokyoMetro.Yurakucho.KotakeMukaihara,小竹向原,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Sakuradamon,桜田門,有楽町線
odpt.Station:TokyoMetro.Yurakucho.ShinKiba,新木場,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Shintomicho,新富町,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Senkawa,千川,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Tatsumi,辰巳,有楽町線
odpt.Station:TokyoMetro.Yurakucho.ChikatetsuAkatsuka,地下鉄赤塚,有楽町線
odpt.Station:TokyoMetro.Yurakucho.ChikatetsuNarimasu,地下鉄成増,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Tsukishima,月島,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Toyosu,豊洲,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Nagatacho,永田町,有楽町線
odpt.Station:TokyoMetro.Yurakucho.HigashiIkebukuro,東池袋,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Hikawadai,氷川台,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Heiwadai,平和台,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Yurakucho,有楽町,有楽町線
odpt.Station:TokyoMetro.Yurakucho.Wakoshi,和光市,有楽町線
odpt.Station:TokyoMetro.Tozai.Iidabashi,飯田橋,東西線
odpt.Station:TokyoMetro.Tozai.Urayasu,浦安,東西線
odpt.Station:TokyoMetro.Tozai.Otemachi,大手町,東西線
odpt.Station:TokyoMetro.Tozai.Ochiai,落合,東西線
odpt.Station:TokyoMetro.Tozai.Kagurazaka,神楽坂,東西線
odpt.Station:TokyoMetro.Tozai.Kasai,葛西,東西線
odpt.Station:TokyoMetro.Tozai.Kayabacho,茅場町,東西線
odpt.Station:TokyoMetro.Tozai.Kiba,木場,東西線
odpt.Station:TokyoMetro.Tozai.Gyotoku,行徳,東西線
odpt.Station:TokyoMetro.Tozai.Kudanshita,九段下,東西線
odpt.Station:TokyoMetro.Tozai.Takadanobaba,高田馬場,東西線
odpt.Station:TokyoMetro.Tozai.Takebashi,竹橋,東西線
odpt.Station:TokyoMetro.Tozai.Toyocho,東陽町,東西線
odpt.Station:TokyoMetro.Tozai.Nakano,中野,東西線
odpt.Station:TokyoMetro.Tozai.NishiKasai,西葛西,東西線
odpt.Station:TokyoMetro.Tozai.NishiFunabashi,西船橋,東西線
odpt.Station:TokyoMetro.Tozai.Nihombashi,日本橋,東西線
odpt.Station:TokyoMetro.Tozai.BarakiNakayama,原木中山,東西線
odpt.Station:TokyoMetro.Tozai.MinamiGyotoku,南行徳,東西線
odpt.Station:TokyoMetro.Tozai.MinamiSunamachi,南砂町,東西線
odpt.Station:TokyoMetro.Tozai.Myoden,妙典,東西線
odpt.Station:TokyoMetro.Tozai.MonzenNakacho,門前仲町,東西線
odpt.Station:TokyoMetro.Tozai.Waseda,早稲田,東西線
